Organization,Country,Info,Organization categorization,All ML Systems
Beijing Academy of Artificial Intelligence / BAAI,China,,Academia,"BaGuaLu,Wu Dao - Wen Lan,Wu Dao - Wen Yuan,Wu Dao - Wen Hui,Wu Dao - Wen Su,Wu Dao 2.0,CPM-Large,CogVideo,AltCLIP_M9,ALM 1.0,FLM-101B,CPM-2,Wu Dao Aquila-7B,Aquila2 34B,ProteinLM,bge-reranker-large,Emu1 (BAAI),EVA-01,GLM-10B,CogView2,Wu Dao Aquila-33B,GLM-10B-unidirectional,GLM-10B-bidirectional,GLM-2B,BGE-M3 Embedding,DrugCLIP,OmniGen,LEGO,EVA-CLIP (EVA-02-CLIP-E/14+)																											,CPM-Ant
,CPM-Bee,Emu3,Emu2"
Beijing Ascend AI Computing Center,China,,Government,
Beijing Electronics Holding Co. Ltd.,China,,"Government,Industry",
Beijing Energy Holding,China,,Government,
Beijing Institute of Technology,China,,Academia,"EN^2AS with performance reward,Tensorized Transformer (257M),EVA-01,TSLM+MoS (WT2),Tensorized Transformer (OBW),Tensorized Transformer (PTB),Tensorized Transformer (large PTB),Tensorized Transformer (W103),TSLM+MoS (PTB),Protllm,ChatBit,sgRNAGen,SAF R-CNN"
Beijing University of Chemical Technology,China,,Academia,EITLEM-Kinetics
Beijing University of Posts and Telecommunications,China,,Academia,"ConSERT,MMLSTM,LSTM(large)+Sememe+cell,LSTM(medium)+Sememe+cell (WT2),CoPRA,ChatMol,Pyramid Flow,Uni-Med"
Bell Laboratories,United States of America,,Industry,"Social and content-based classification,Random Decision Forests,Support Vector Machines,Zip CNN,Theseus,Linear Decision Functions,Boosting,Siamese-TDNN"
Belozersky Institute of Physio-Chemical Biology,Russia,,Academia,MULAN
Ben-Gurion University,Israel,,Academia,"RHN+HSG(depth=40),RHN(depth=40),GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (PTB)"
Ben-Gurion University of the Negev,Israel,,Academia,"ProteinBERT,GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2)"
Berlin Institute for the Foundations of Learning and Data,Germany,,Research collective,SO3LR
BigCode,,,,"StarCoder 2 15B,StarCoder 2 7B,StarCoder 2 3B"
BigScience,"Multinational,France",,Research collective,"BLOOM-176B,BLOOM-7.1B,BLOOM-1.7B,BLOOM-1B,BLOOM-3B,BLOOM-560M,mT0-13B"
BioGeometry,China,,Industry,GearBind
Bioinformatics Institute,Singapore,,Government,RiNALMo
Biological Cybernetics,Japan,,Industry,Cognitron
BioMap Research,China,,Industry,"xTrimoPGLM -100B,ProteinChat,IDPFold"
BionomeeX,France,,Industry,PeTriBERT
Black Forest Labs,Germany,https://blackforestlabs.ai/,Industry,"Flux.1 [pro],Flux.1 [dev],FLUX1.1 [pro] Ultra,FLUX1.1 [pro] Raw,FLUX.1 Kontext [pro],FLUX.1 Kontext [max],FLUX.1 Kontext [dev]"
Bloomberg,United States of America,,Industry,BloombergGPT
BNY Mellon,United States of America,,Industry,
"BodaData Technology Co., Ltd.",China,https://www.bodadata.com/Home-en.html,Industry,
"Booz Allen Hamilton, McLean",United States of America,,Industry,"Pythia-12b,Pythia-2.8b,Pythia-6.9b,Pythia-160m,Pythia-1b,Pythia-1.4b,Pythia-70m,Pythia-410m"
Bosch Center for Artificial Intelligence,Germany,https://www.bosch-ai.com/,Industry,"TrellisNet,TrellisNet-MoS (1.4x larger) PTB,U-Net GAN (FFHQ)"
Boston Consulting Group X,United States of America,,Industry,STEPS
Boston University,United States of America,,Academia,"Platypus-70B,Engine-XL(NE),Engine-Base (NE),Engine-Medium(NE),Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M"
BrainLinks-BrainTools,Germany,,Academia,BetterBodies
Brigham and Women's Hospital,United States of America,,,CHIEF
Brno University of Technology,Czechia,,Academia,"RNN-SpeedUp,KN5 LM + RNN 400/10 (WSJ),RNN 500/10 + RT09 LM (NIST RT05),Context-dependent RNN,RNN+LDA+KN5+cache,RNN 1000/5 + RT09 LM (NIST RT05)"
Broad Institute,United States of America,,Research collective,"RoseTTAFold2-Lite,DeepFRI,CHIEF,TxGNN,PocketGen"
Brown University,United States of America,,Academia,"T0-XXL,AlphaX-1,Immediate trihead,LaNet-L (CIFAR-10),Aya,Text2Protein,Zero-shot Monocular Scene Flow (ZeroMSF)"
ByteDance,China,,Industry,"Dou Bao,LLaVA-NeXT-34B (LLaVA-1.6),MegaScale (175B),MegaScale (530B),MegaScale (Production),GroundingGPT,KeAP,LM-Design,BindDM,DecompDiff,TiTok-L,PixelDance,ByteDance Seaweed,SeedEdit,Doubao-pro,Doubao-lite,Doubao Role-Playing Model,Doubao Text-to-Speech Model,Doubao Voice Cloning Model,Doubao Speech Recognition Model,Doubao Text-to-Image Model,Doubao Function Call Model,Doubao Vectorization Model,Doubao Image-to-Image generation model,Doubao Real-Time translation model,Doubao Video Generation model,Doubao-1.5-pro,Goku-8B,Goku+,OmniHuman-1,Infinity,X-Portrait,GR-2,Seaweed-7B,LLaVA-OV-7B,LLaVA-OV-72B,Seedream 3.0,Seedream 2.0,Seedance 1.0,Seed1.5-VL,Fulu Gua (福禄瓜),TokenFlow-XL,TokenFlow-t2i,Seed Prover,BFS-Prover"
Caldera AI,,Caldera AI is a non profit research organization prioritizing machine behavior discovery search through terraforming information landscapes in neural networks. Initial focus VIA observing knowledge transfer of model merges then fine-tuning with eclectic combinations of datasets.,Research collective,30B-Lazarus
California Institute of Technology,United States of America,,Academia,"Statistical Shape Constellations,Hopfield network,Innervator,ProteinDT,GenSLM,Bayesian object categorizer,ProCALM (Uniref9B)"
Cancer Research UK Beatson Institute,United Kingdom of Great Britain and Northern Ireland,,,EvoMIL
Capital One,United States of America,,Industry,Char-CNN-BiLSTM
Carleton University,Canada,,Academia,TaLK Convolution
Carnegie Mellon University (CMU),United States of America,,Academia,"MobileBERT,Hanabi 4 player,XLNet,Noisy Student (L2),Libratus,JFT,Convolutional Pose Machines,Listen, Attend and Spell,Cross-Lingual POS Tagger,Boss (DARPA Urban Challenge),Sandstorm (DARPA Grand Challenge I),Probabilistic modeling for object recognition,n-gram LM,System 11,ALVINN,Time-delay neural networks,Error Propagation,DLRM-12T,Robot Parkour,TCN (148M),SemExp,TCN (P-MNIST),PolyCoder,StarCoder,Back-propagation,Transformer-XL (257M),TrellisNet,DARTS,LSTM (2018),ENAS,AWD-LSTM-MoS + dynamic evaluation (WT2, 2017),SantaCoder,Incoder-6.7B,Mamba-24M (SC09),Mamba-2.8B,Part-of-sentence tagging model,Named Entity Recognition model,PeptideBERT,SEST,PhraseCond,Aya,DEQ-Transformer (Medium, Adaptive Embedding),Transformer-XL + AutoDropout (WT2),DEQ-Transformer (Post-LN) + Jacobian Regularisation,NLM,VideoPoet,AWD-LSTM-MoS + dynamic evaluation (PTB, 2017),TCN (13M),DARTS (second order) (PTB),DEQ-TrellisNet (PTB),Transformer-XL-ptb,TrellisNet-MoS (1.4x larger) PTB,Distributed representation NN,Translation-invariant MLP,Innovative Drug-like Molecule Generation from,Mamba 2, 2.7B,AbGPT,CRYSTALCODER,Amber,NAEPro,GPT-MolBERTa,TC-DNN-BLSTM-DNN,HR-ResNet101,Segmental RNN,DEQ-TrellisNet (WT-103),Octo-Base,Octo-Small,Llemma 34B,Llemma 7B,LIMA,Hybrid-Phi-Mamba-1.5B,GemNet-OC ,GigaGAN,ManiGaussian,BiRNA-BERT"
"CEC-Eagle Soul (Shenzhen) Intelligent Interconnection Co., Ltd.",China,https://ceceagle.com/,"Industry,Government",
Cedars-Sinai Medical Center,United States of America,,,CHIEF
CENPARMI,Canada,,Academia,TFE SVM
Center for Development of Advanced Computing (C-DAC),India,,Government,
Central China Normal University,China,,Academia,SAAMBE-MEM
Central South University,China,,Academia,MolMVC
CentraleSupelec,France,,,Novae
Centre de Recherche en Automatique de Nancy (CRAN),France,,Academia,TFE SVM
Cerebras Systems,"Multinational,United States of America,Canada,India",,Industry,"Jais,Cerebras-GPT-13B,BTLM-3B,GenSLM,Sparse Wide GPT-3 Small,Jais-30b (phase 1)																												 "
Cerenaut,Australia,,,RSM
Chai discovery,United States of America,,Industry,CHAI-1
Chalmers University of Technology,Sweden,,Academia,"ProteinGAN,PepINVENT"
Chan Zuckerberg Initiative,United States of America,,Research collective,"TAPE Transformer,CELLE-2,TranscriptFormer"
Chandar Research Lab,,,,AMPLIFY
Changsha High-tech Zone Administrative Committee,China,,Government,
Charité-Universitätsmedizin Berlin,Germany,,Academia,KinoML
Charles University,Czechia,,Academia,DeepStack
Chemix,United States of America,,Industry,MACE-MP-0
Chengdu AI Computing Center,China,https://www.cdzs.cn/,Government,
China Medical University Hospital,China,,,DeepRelax
China Mobile,China,,Industry,"Jiutian,JIUTIAN-139MoE,DiLoCoX (Qwen1.5-107B on WT-103)"
China National Health Development Research Center,China,,Academia,GraphMS
China Telecom,China,,Industry,"TeleChat,Telechat2-115B,TeleChat2-35B,TeleChat2-7B,TeleChat2-3B,Xinyu,TeleChat-7B,TeleChat-3B,TeleChat-12B,Xingchen Jianwei Security Model (星辰·见微安全大 模型),Xingchen Voice Model (星辰语音大模型),Xingchen Multimodal Model (中电信人工智能科技（北京）有限公司)"
China Unicom,China,,Industry,"Honghu Graphic,Yuanjing LLM (联通元景大模型),Unichat-32B-c1"
China Unicom Shanghai Lingang AI Computing Center,China,,Industry,
China-ASEAN AI Computing Center,China,https://www.ca-aicc.com/index.html,"Government,Industry",
China-Singapore International Supercomputing Center ,China,,Industry,
Chinese Academy of Agricultural Sciences,China,,Academia,PLLaMa
Chinese Academy of Mathematics and System Science,China,,Academia,DiffSBDD (CrossDocked)
Chinese Academy of Sciences,China,,Academia,"DANet,ESRGAN,SENet (ImageNet),Multi-task Cascaded CNN,Trajectory-pooled conv nets,Zidong Taichu,FLM-101B,NAS+ESS (156M),genCNN + dyn eval,Integer Transformer,MASSA,DecompDiff,RiboCode,Pro-PRIME,LEGO,IgGM,stFormer,ACF-WIDER,3DDFA,CCL,Baize (白泽),OpenOmni"
Chinese University of Hong Kong (CUHK),"Hong Kong,China",,Academia,"ESRGAN,PSPNet,Multi-task Cascaded CNN,Trajectory-pooled conv nets,Cascaded LNet-ANet,PolyNet,TSN,DITTO,SPHINX (Llama 2 13B),InternImage,OneLLM,Quantized ADMM,Stacked-LSTM+PruningNo,MemSizer (language modeling),Transformer LM + MinSen,Mistral 7B + OVM,HuatuoGPT,ADP-FAIRSEQ+NGRAMRES,ADP-FAIRSEQ + NGRAMRES,InternLM2-20B,AtomFlow,RNA-FM,CrossBind,RiboDiffusion,ParetoDrug,MPDF,InstructPLM,CFSS,CCL,TA-CNN,InternVL1.5,LLaVA-OV-7B,LLaVA-OV-72B,InternVL2_5-26B,InternVL2_5-38B,InternVL2_5-78B,OREAL 7B,OREAL 32B,Lumina-Image-2.0,MTDP,Grounding Dino L"
Chongqing AI Innovation Center,China,,"Government,Industry",
Chongqing University,China,,Academia,"GRU + p-tHSM (pretrain via Brown) (WT103),GRU + p-tHSM (pretrain via Brown) (PTB),GRU + p-tHSM (pretrain via Brown) (WT2),GraphEC,ConoDL"
Chongqing University Cancer Hospital,China,,,CHIEF
Chung Yuan Christian University,Taiwan,,Academia,YOLOv9-E
CIFAR AI Research,Canada,,Research collective,"KEPLER,ONLSTM-SYD,L_UL-seq,Cutout-regularized net,Skip-Thoughts,AtomFlow,Protst,Structure-Informed Protein Language Model,GearNet,ESM-GearNet,Intelligent Go-Explore (IGE),AMPLIFY,OC-GAN (Visual Genome),OC-GAN (COCO-Stuff)"
Cineca,Italy,,Academia,
City University of New York,United States of America,,Academia,MMAPLE
Clemson University,United States of America,,Academia,SAAMBE-MEM
"Cloud Capital (Suzhou, Anhui) Big Data Development Co., Ltd",China,http://www.ydszdshj.com/,Government,
Cloud Company,China,,Industry,
Cohere,Canada,,Industry,"Cohere Command,Cohere Embed,Tranception,Aya,Cohere Command Light,Command R+,Command R,Takane,Cohere Command A,Aya Vision 32B"
Cohere for AI,"Multinational,Canada",non-profit research lab https://cohere.com/research  not to be confused with Cohere,Industry,"Aya,Command R+,Command R,Aya Expanse 32B,Aya Expanse 8B"
Collaborations Pharmaceuticals,United States of America,,Industry,MegaSyn
Collaborative Research Institute Intelligent Oncology ,Germany,,Research collective,BetterBodies
Collège de France,France,,Academia,Bayesian Starcraft
Columbia University,United States of America,,Academia,"NeuMF (Pinterest),Ankh_large,ViT-G (model soup),Binarized Neural Network (MNIST),Ferret (13B),StarCoder,Dropout-LSTM+Noise(Bernoulli) (WT2),FinGPT-13B,Ankh_base,ProGen2-xlarge,LLaVA,OpenFlamingo,LSTM+Noise(Beta),AWD-LSTM-MoS+Noisin+dynamic evaluation (PTB),Dropout-LSTM+Noise(Laplace) - medium (WT2),Dropout-LSTM+Noise(Bernoulli) - large(PTB),Genie 2 (bio),RFdiffusion,AminoBert,eFold,DRGN-AI,Evo 2 40B,Evo 2 7B,ProGen2-base,JURA Bio Model,Genie-SCOPe (bio),StyleTTS 2"
Compaq CRL,United States of America,,Industry,Decision tree (classification)
Complutense University of Madrid,Spain,,Academia,Invariant image recognition
Compute Canada,Canada,,Academia,
Concordia University,Canada,,Academia,SPOT
Contextual AI,United States of America,,Industry,"OLMoE,GRITLM 7B,GRITLM 8x7B,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,s1,s1-32B,s1.1"
Continental AG,Germany,,Industry,
CoreWeave,United States of America,,Industry,
Cornell Aeronautical Laboratory,United States of America,,Academia,"Perceptron Mark I,Perceptron (1960)"
Cornell University,United States of America,,Academia,"DenseNet-264,3D city reconstruction,Thumbs Up?,Sparse coding model for V1 receptive fields,Perceptron Mark I,Transformer + Simple Recurrent Unit,LSTM+GraB,CD-GraB (WT103),CD-GraB (WT2),DiffSBDD (CrossDocked),PepPrCLIP,PepMLM,MMAPLE,LF-MMI,Bird Vocalization Classifier (Perch),DenseNet201"
Cosine,United Kingdom of Great Britain and Northern Ireland,,Industry,Cosine Genie
Courant Institute of Mathematical Sciences,United States of America,,Academia,"WGAN-GP,Synergistic Face Detector,Hybrid CNN/SVM Object Categorizer,ConvNet Processor,Long-Range Autonomous Off-Road Driving System,WGAN (Wasserstein GAN)"
Covariant,United States of America,,Industry,"TAPE Transformer,RFM-1,Flow++ (CIFAR10)"
Craiyon,United States of America,https://www.craiyon.com/,Industry,"DALL-E mega,DALL-E mini"
CSC – IT Center for Science,Finland,,"Government,Academia",
CSIRO,Australia,,Government,StarCoder
CUHK Shenzhen Research Institute,China,,,"RNA-FM,Eurus-2-7B-PRIME"
CyberAgent,Japan,,Industry,"OpenCALM,Calm2-7B,Fugaku-LLM"
Cyberport,"Hong Kong,China",https://www.cyberport.hk/en,"Government,Industry",
CZ Biohub Network,United States of America,,Academia,
Czech Technical University,Czechia,,Academia,DeepStack
Dahua Technology,China,,Industry,Xinghan Foundation Model
Dalian AI Computing Center,China,,Industry,
Dalian University of Technology,China,,Academia,GraphMS
Dana-Farber Cancer Institute,United States of America,,,CHIEF
Danish Centre for AI Innovation,Denmark,,Industry,
Daresbury Laboratory,United Kingdom of Great Britain and Northern Ireland,,Academia,MACE-MP-0
Dartmouth College,United States of America,,Academia,Instruct-GPT + Mind's Eye
Data61,Australia,,Government,StarCoder
Databricks,United States of America,,Industry,"Dolly 2.0-12b,DBRX,MosaicML Diffusion,Shutterstock ImageAI"
datasaur.ai,United States of America,,Industry,"Pythia-12b,Pythia-2.8b,Pythia-6.9b,Pythia-160m,Pythia-1b,Pythia-1.4b,Pythia-70m,Pythia-410m"
Dazhou High-tech Innovation Company,China,,"Government,Industry",
Deci AI,Israel,,Industry,"DeciCoder-1B,DeciLM 6B,DeciCoder-6B"
Deep Trading,United States of America,,Industry,ProteinBERT
DeepInfra,,,,
DeepL,Germany,,Industry,DeepL LLM
DeepLang AI,China,,Industry,LingoWhale-8B
DeepMind,United Kingdom of Great Britain and Northern Ireland,,Industry,"Chinchilla,AlphaCode,Gato,RETRO-7B,MuZero VP9,Gopher (280B),GOAT,Student of Games,AlphaFold,Perceiver IO (optical flow),Agent57,AlphaFold 2,AlphaStar,FTW,MuZero,Hanabi 4 player,CPC v2,BigGAN-deep 512x512,IMPALA,Population-based DRL,AlphaGo Zero,AlphaGo Master,AlphaZero,Inflated 3D ConvNet,NoisyNet-Dueling,AlphaGo Lee,Elastic weight consolidation,DQN,Flamingo,Mogrifier RLSTM (WT2),Mogrifier (d2, MoS2, MC) + dynamic eval,DARTS,Relational Memory Core,LSTM (Hebbian, Cache, MbPA),AWD-LSTM,Sparrow,RNN-WER,EMDR,Adaptive Agent,DeepNash,Neuro-Symbolic Concept Learner,Reading Twice for NLU,Distilled Grandmaster,2-layer skip-LSTM + dropout tuning (WT2),SPALM + RelationLM,Transformer-XL + RelationLM,E-SPA,T2R + Random Init,RFA-GATE-Gaussian-Stateful Big,AlphaGo Fan,AlphaFold-Multimer,2-layer skip-LSTM + dropout tuning (PTB),T2R + Pretrain,T2R 75% + Pretrain (WT-103),SPALM + kNN,$\infty$-former (SM),Multipop Adaptive Continuous Stack (WT2),Multipop Adaptive Continuous Stack (PTB),Gopher (7.1B),Mogrifier RLSTM (PTB),Long-range sequence Compressive Transformers,DARTS (second order) (PTB),Mogrifier (d2, MC) + dynamic eval,SO3LR,Med-PaLM 2,Med-PaLM,VQ-VAE,EnzymeFlow,AlphaTensor,Octo-Base,Octo-Small,DreamerV3,JEST-L++,SILC-S* (86M),SILC-S,AlphaEvolve,DCTransformer (ImageNet),SPN (ImageNet 128),SPN (CelebA HQ)"
DeepOrigin,"Armenia,United States of America",https://www.deeporigin.com/,Industry,BiosimDock
DeepScale,United States of America,,,SqueezeNet
